function,retired,residency_cycles,scoreboard,load_stall,mul_stall,recovery_events,memory_ops,base_from_load,adjacent_base_load,taken,not_taken,stack_memory_ops,sp_base_memory_ops,instruction_lw,instruction_alu_imm,instruction_lbu,instruction_branch,instruction_sw,instruction_jalr,instruction_alu_reg,instruction_jal,instruction_lh,instruction_lui,instruction_auipc,instruction_lhu,instruction_mul,instruction_xbextu,instruction_sb,instruction_xpack16,instruction_xdot2h,instruction_lb,instruction_sh,instruction_xadd16
core_state_transition,110112,134889,4080,4080,0,6899,24352,3696,0,6912,25696,13792,0,6896,46560,10560,32608,6896,2048,240,4304,,,,,,,,,,,,
core_list_find,70268,88640,17070,17070,0,434,46096,33598,5582,11690,11458,11674,11674,28844,438,5640,23148,5764,,,384,5848,202,,,,,,,,,,
crcu8,80684,80684,0,0,0,0,716,0,0,0,0,708,708,472,51744,,,236,,28040,,,176,8,8,,,,,,,,
matrix_mul_matrix_bitextract,61584,70968,8424,4536,3240,104,12320,0,0,736,2584,8,8,,9352,,3320,656,,12608,640,11664,,16,,11664,11664,,,,,,
core_list_reverse,61608,62850,0,0,0,414,24480,8,0,11832,408,0,0,12240,24480,,12240,12240,,,408,,,,,,,,,,,,
core_bench_state,24448,29940,200,200,0,1764,8888,2064,0,2304,240,6440,2208,4232,8512,2264,2544,2200,,2456,2048,,,,8,,,184,,,,,
matrix_sum,28136,29456,0,0,0,440,2592,0,0,2776,2696,0,0,2592,12864,,5472,,,7040,168,,,,,,,,,,,,
ee_isdigit,24272,25874,0,0,0,534,0,0,0,5504,464,0,0,,18304,,5968,,,,,,,,,,,,,,,,
core_list_mergesort,17449,22162,0,0,0,1571,3444,1163,0,3226,3383,140,140,2474,6607,,6609,970,,342,447,,,,,,,,,,,,
matrix_mul_matrix,12896,15720,2296,1272,1008,32,5968,72,0,88,16,2872,2872,3072,408,,104,1600,,2592,,144,,8,1152,648,,,576,2592,,,
core_bench_list,9272,10476,862,858,0,110,2218,1220,366,818,734,524,516,1208,4342,,1552,590,4,398,758,54,,,,,,,,,366,,
calc_func,4308,6300,456,440,0,512,1040,228,0,84,484,544,384,288,2124,,568,112,440,112,24,456,,,72,,,,,,,112,
cmp_idx,5782,6195,413,413,0,0,2478,2478,0,0,0,0,0,,2478,,,,,826,,1652,,,,,,,,,,826,
matrix_mul_vect,4232,4802,72,0,72,22,1368,0,0,144,224,0,0,,968,,368,72,,880,,1296,,,,648,,,,,,,
matrix_mul_const,3648,4332,144,0,72,36,1376,0,0,136,232,80,80,,888,,368,728,,296,72,648,,,,648,,,,,,,
matrix_add_const,3120,3290,56,24,0,38,1312,0,0,64,224,0,0,640,760,,288,640,,96,,,,,16,8,,,16,,,16,640
cmp_complex,1540,1714,0,0,0,58,220,0,0,0,0,0,0,220,880,,,,,,440,,,,,,,,,,,,
crcu16,956,956,8,8,0,0,0,0,0,0,0,0,0,,956,,,,,,,,,,,,,,,,,,
crcu32,128,128,0,0,0,0,0,0,0,0,0,0,0,,128,,,,,,,,,,,,,,,,,,
matrix_test,88,88,0,0,0,0,64,0,0,0,0,64,64,,,,,64,,16,,,8,,,,,,,,,,
core_bench_matrix,56,72,8,0,0,0,56,0,0,0,0,56,16,32,,,,16,,,,,,,8,,,,,,,,
iterate,32,50,0,0,0,6,12,0,0,2,0,12,12,2,14,,2,2,,,4,,,,4,,,,,,,4,
core_list_remove,32,32,0,0,0,0,32,32,0,0,0,0,0,16,,,,16,,,,,,,,,,,,,,,
core_list_undo_remove,24,24,4,4,0,0,24,24,4,0,0,0,0,8,,,,16,,,,,,,,,,,,,,,
